,Category,Date,From,Priority,Type,Subject
62E582A4D20A281349258A18003DD78C,TODO カテゴリー,2023/08/27 20:15:28 ZE9,Admin/Dot123,N,VIM_MAIL,テスト ToDo
D9F4AD2317673E9249256C4B001578E4,(No Category),2002/10/07 12:54:32 ZE9,,N,VIM_MAIL,
FFB26FA8AE8493A749256C4B001578EF,(No Category),2002/10/07 12:54:32 ZE9,,N,VIM_MAIL,
CB58067E431231EB4925806C003F1AF3,(No Category),2016/11/15 20:29:16 ZE9,,N,VIM_MAIL,
FEF75DB790E1F1A84925806C003F21A6,(No Category),2016/11/15 20:29:33 ZE9,,N,VIM_MAIL,
61E840EBACD8FEB84925806C003F2A0E,(No Category),2016/11/15 20:29:55 ZE9,,N,VIM_MAIL,
742229335D23ABA9002581440010DDD1,(No Category),2017/06/19 12:04:13 ZE9,,N,VIM_MAIL,
7C3007B4A9122EBA49258A10004195D8,(No Category),2023/08/19 20:56:22 ZE9,Admin/Dot123,N,VIM_MAIL,テストエントリー
FC334950AEC80EC149258A160049790A,(No Category),2023/08/25 22:22:31 ZE9,Admin/Dot123,N,VIM_MAIL,テストメール
6C305FCBD2D5592149258A190030C971,(No Category),2023/08/28 17:52:52 ZE9,Admin/Dot123,N,VIM_MAIL,テストメール
47EA89C60D3C718749258A190030C972,(No Category),2023/08/28 17:52:52 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 1
6E8B45113EA5DCDA49258A190030C973,(No Category),2023/08/28 17:52:52 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 2
B86C80712D955D6049258A190030C974,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 3
4134F63C40C255EF49258A190030C975,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 4
309FE0ADC70ECB3D49258A190030C976,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 5
26504CEDD9FFAB4249258A190030C977,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 6
A71C55B43BE63E1949258A190030C978,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 7
1D92CD9331D6FBB449258A190030C979,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 8
A9A2E83EAF49FFB549258A190030C97A,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 9
C96C4C81EC0F6A7649258A190030C97B,(No Category),2023/08/28 17:52:53 ZE9,Admin/Dot123,N,VIM_MAIL,2023/08/28 17:52:53 - 10
